Company_Name,Return,LTP,NIFTY50
GAMMONIND,-inf,,False
L&TFH,-inf,,False
SABTN,-inf,,False
VICEROY,-inf,,False
MOHOTAIND,-inf,,False
UJAAS,-inf,,False
BOHRAIND,-74.72527366960333,14.0,False
COMPINFO,-74.50819718264279,3.11,False
CGCL,-73.82894819725318,209.46,False
ATALREAL,-71.62899355768094,7.28,False
CUPID,-71.52784694033068,83.58,False
BCG,-68.11715478166325,7.62,False
SEMAC,-64.83800775165498,564.35,False
FSC,-61.649483487030565,3.72,False
SECURCRED,-60.338165528738216,8.21,False
AKSHAR,-59.86347626706029,2.45,False
FLFL,-59.66101566151416,2.38,False
VCL,-58.26086963282191,0.96,False
SRPL,-58.00000190734863,1.05,False
RAJRILTD,-57.90954666521082,20.94,False
JAIPURKURT,-56.82485979155633,38.21,False
OCCL,-56.091689092346286,346.7,False
BAIDFIN,-53.89558228419792,17.22,False
MKPL,-53.420350822859405,11.36,False
OSWALSEEDS,-53.14698073079141,25.98,False
JALAN,-52.17391439556849,,False
MEDICO,-51.27408048485207,39.2,False
DIL,-50.71186453609143,7.27,False
HILTON,-49.05807854414892,84.64,False
MUFTI,-48.824472125096655,159.77,False
GSS,-48.46841498790128,92.19,False
MEP,-46.693875838299185,6.53,False
DANGEE,-46.39405100080144,7.21,False
SELMC,-44.165479569657165,58.71,False
DELPHIFX,-44.00630028960853,213.28,False
MEDICAMEQ,-42.075630324955085,452.65,False
PAYTM,-41.3880443132563,462.8,False
ZEEL,-40.58561505062499,140.01,False
TATVA,-39.72028046257411,991.3,False
CMICABLES,-39.47368470585578,4.6,False
DREAMFOLKS,-38.70545930042498,468.75,False
RAJESHEXPO,-38.32813864542155,316.5,False
UGARSUGAR,-37.093948755308794,82.69,False
ANMOL,-37.060461709665695,33.83,False
LATTEYS,-36.857560993425615,21.5,False
ACLGATI,-35.90986509646483,93.86,False
APTECHT,-33.956510378142376,218.67,False
MANAKSIA,-33.72116300641094,99.12,False
BSHSL,-33.44611569193177,196.7,False
LAOPALA,-33.442205409704684,315.85,False
HLEGLAS,-33.22093584867959,435.7,False
PRITI,-32.84493284493284,137.5,False
MORARJEE,-32.69754700418941,12.35,False
FLAIR,-32.49057484654409,304.4,False
IDEAFORGE,-32.246500142168784,793.8,False
FRETAIL,-30.68493410175966,2.53,False
GANDHAR,-30.40477811725575,209.76,False
FUSION,-30.390599810459573,438.4,False
DELTACORP,-30.09513919653119,132.26,False
OSIAHYPER,-29.972376112703436,25.35,False
KALAMANDIR,-29.79583627574383,171.93,False
SERVOTECH,-29.739179226704326,122.57,False
IRISDOREME,-29.667519420257644,63.25,False
PRUDMOULI,-29.397990368973726,,False
PALREDTEC,-29.258362832431335,102.54,False
HARDWYN,-29.065090382592917,29.97,False
NILKAMAL,-28.31127709749938,1944.7,False
MEDPLUS,-28.17836755982005,681.3,False
SMLT,-27.881530767776475,191.15,False
BGRENERGY,-27.6923089964777,42.3,False
AMBICAAGAR,-27.33056888266625,26.27,False
NDLVENTURE,-27.314413857282094,93.51,False
SUULD,-27.16981005326301,5.79,False
DIVGIITTS,-26.994860697863132,674.75,False
MBAPL,-26.982574218693316,224.2,False
UNIPARTS,-26.581235440458016,489.85,False
IKIO,-26.320303175937266,300.65,False
MOTILALOFS,-26.214216541556564,577.3,False
MARSHALL,-25.883897832795626,39.5,False
BUTTERFLY,-25.751273791989505,866.0,False
KBCGLOBAL,-25.660378954171993,1.97,False
TASTYBITE,-25.562196414792048,10190.2,False
ESAFSFB,-25.546708797569902,51.41,False
CAMLINFINE,-25.27733179887673,116.53,False
DBOL,-24.62237314453218,132.74,False
TANLA,-24.366254474772592,945.8,False
SPECIALITY,-24.321561621721628,170.39,False
MOLDTKPAC,-24.286747598177772,786.85,False
LOTUSEYE,-24.07146301552836,70.12,False
TATATECH,-23.872811287664224,999.55,False
