Company_Name,Return,LTP,NIFTY50
L&TFH,-inf,,False
UJJIVAN,-inf,591.0,False
GAMMONIND,-inf,,False
VICEROY,-inf,,False
UJAAS,-inf,,False
MOHOTAIND,-inf,,False
SABTN,-inf,,False
OCCL,-51.4828627485582,377.9,False
TECILCHEM,-36.38683671894043,22.43,False
SECURCRED,-34.43017615344267,8.17,False
ZENITHEXPO,-31.841259555687877,308.8,False
JPASSOCIAT,-31.512195308034013,7.02,False
GVKPIL,-28.09773347565771,8.24,False
PREMEXPLN,-27.40906694990209,614.7,False
MEP,-27.22095602703178,6.39,False
ROLLT,-27.133483618766096,3.33,False
SCPL,-25.3142753418079,433.7,False
SIMBHALS,-25.142687320652513,24.92,False
RAJTV,-23.92810113425999,81.26,False
RAYMOND,-23.919870856456853,1986.3,False
JAIPURKURT,-23.17385360425419,39.02,False
PKTEA,-22.37677708528176,385.05,False
TCLCONS,-22.099844091448094,43.85,False
LGBFORGE,-21.74839752887864,11.01,False
PALREDTEC,-21.58095478390113,88.59,False
PRAXIS,-20.78506789038097,12.31,False
TECHIN,-20.715942937338383,23.92,False
SETUINFRA,-20.65217327925119,0.73,False
FCONSUMER,-20.588233575413906,0.81,False
A2ZINFRA,-20.427345543679547,18.62,False
TIJARIA,-20.10666910807292,14.98,False
RHL,-19.928299736888,167.51,False
TERASOFT,-19.676359075383218,68.5,False
TARAPUR,-19.467785608934086,11.5,False
RCOM,-19.40298445498995,1.62,False
COMPINFO,-19.220779944600192,3.11,False
FRETAIL,-19.169332942926097,2.53,False
QUINTEGRA,-19.123506808655225,2.03,False
ZODIACLOTH,-19.027540864150502,130.56,False
HILTON,-18.92628538727067,86.23,False
HDIL,-18.90110104315198,3.69,False
BCG,-18.76332843719521,7.62,False
MORARJEE,-18.642950374257477,12.35,False
KKVAPOW,-18.539900204928905,,False
IBREALEST,-18.353605746401698,,False
AKSHAR,-18.076915670428484,2.13,False
SINDHUTRAD,-17.968749109765195,17.85,False
ANGELONE,-17.743473404455816,2120.45,False
CREATIVEYE,-17.711173892503496,6.04,False
MOTILALOFS,-17.574865349074837,533.95,False
DNAMEDIA,-17.449663677793772,4.92,False
BOHRAIND,-17.315759441861125,13.8,False
SCHAEFFLER,-17.169754950078925,3854.05,False
ORTEL,-16.766465783542337,1.39,False
HLVLTD,-16.723944172583952,21.81,False
RELINFRA,-16.689319691268572,177.76,False
ICEMAKE,-16.53611822413466,761.9,False
AZAD,-16.43569485817899,1613.0,False
SAH,-16.22806569912779,76.4,False
VARDMNPOLY,-16.129035979478314,8.32,False
IIFLSEC,-15.993327358614016,186.31,False
PENINLAND,-15.917187416680836,63.76,False
NACLIND,-15.897638122161226,65.07,False
GAYAHWS,-15.82278438035428,1.33,False
THOMASCOTT,-15.81109181278793,246.0,False
ARMANFIN,-15.634461016954162,1950.7,False
SHRENIK,-15.463920756548829,0.82,False
IRISDOREME,-15.359830727426065,63.04,False
ESSENTIA,-15.3153166214799,3.76,False
ATALREAL,-15.29125955149992,6.98,False
JALAN,-15.189876855899994,,False
JASH,-14.955784959148568,2009.85,False
ACLGATI,-14.880372953413056,95.7,False
SANCO,-14.802985010657489,8.0,False
UNITECH,-14.713424936650815,9.97,False
SMCGLOBAL,-14.690817619271812,146.51,False
RKDL,-14.650931759492533,26.04,False
BFUTILITIE,-14.627454140079738,778.0,False
IEL,-14.468428349329296,10.7,False
SAKUMA,-14.456459908768592,30.06,False
MOHITIND,-14.436620556736996,26.73,False
BEDMUTHA,-14.371335988166445,204.31,False
LGHL,-14.363258052459074,291.85,False
PARASPETRO,-14.356433890658408,3.46,False
RTNPOWER,-14.325374186107029,15.43,False
BAIDFIN,-14.25587256719669,16.42,False
LANDMARK,-14.249862459778024,632.15,False
ARSHIYA,-14.150942886966384,4.55,False
63MOONS,-14.11019592584813,332.05,False
SKFINDIA,-14.03781553647819,5629.05,False
RAMASTEEL,-13.9475877360223,10.18,False
BCONCEPTS,-13.85488195758952,584.15,False
DOLPHIN,-13.796686227861484,622.0,False
SPENCERS,-13.777236379387215,78.73,False
PRESTIGE,-13.734927717497683,1774.3,False
GENSOL,-13.720167168253749,938.25,False
ABMINTLLTD,-13.7031728056724,59.89,False
BHANDARI,-13.574093549159064,6.94,False
OSWALGREEN,-13.471773318314112,34.17,False
SHYAMTEL,-13.450293213017932,14.8,False
STARTECK,-13.42716913723462,271.25,False
VISAKAIND,-13.298749342228597,105.29,False
RADIOCITY,-13.231851516258416,14.82,False
