Company_Name,Long_Term_Beta,Daily_One_Month_Range,Daily_Three_Month_Range,Weekly_One_Year_Range,Weekly_Two_Year_Range,two_Week_Two_Year_Range,Monthly_Two_Year_Range,1_month_return,12_month_return
TIL,0.999,-2.51,-0.31,0.404,0.858,1.24,0.21,-68.3596480520148,24.379314554148703
BLBLIMITED,0.784,-0.731,0.865,0.317,0.354,0.639,-1.09,-45.39544977304411,13.76975709677939
MEDICO,0.0,-0.418,0.099,1.63,0.0,0.0,0.0,-43.9599291783569,-43.42653478813159
IPL,0.0,5.7,2.12,2.01,1.64,1.71,0.601,-32.720742616597434,12.887043327116835
MUFIN,0.0,2.4,0.594,0.0,0.0,0.0,0.0,-31.262726988090527,0.3717472118959107
RHL,0.0,0.39,1.49,0.0,0.0,0.0,0.0,-27.949179923143884,69.93045290275408
KRITIKA,0.0,-0.589,0.364,0.705,0.433,2.06,2.37,-27.884612739438747,237.07866613318052
FSC,1.24,0.887,0.505,1.29,0.529,0.424,0.458,-27.31958423338397,-49.46236353313437
MITTAL,1.59,1.02,0.596,0.397,1.1,1.43,0.905,-26.530615621087684,74.75728177813045
JALAN,0.0,0.38,0.282,1.71,0.474,2.1,1.13,-26.495722037025548,-40.277773546583745
SARVESHWAR,0.0,2.07,1.16,0.87,1.21,-0.384,0.54,-26.41509433962264,272.84894701500394
GUJRAFFIA,1.85,-0.101,0.286,2.26,0.933,1.33,1.05,-26.051187936462902,58.627453972311585
MEP,1.46,1.4,1.07,-0.113,1.4,0.946,2.11,-25.17730563610684,-21.851850439001012
KRIDHANINF,1.56,0.0088,1.28,0.304,1.65,2.05,1.76,-23.728814792167295,36.36363833403787
CGCL,0.326,2.47,0.59,0.144,0.145,0.257,0.663,-23.284358203462617,-62.09900353248957
ESSENTIA,0.0,0.336,-0.066,0.0238,0.85,1.62,4.87,-23.25581846654943,1.5384600712702825
ANTGRAPHIC,0.0,1.24,0.683,-0.214,0.814,0.859,2.83,-23.07692495793746,100.0
SUMEETINDS,1.82,0.699,-0.126,0.643,1.22,0.944,1.44,-22.388060338833377,0.0
CTE,1.9,1.9,1.62,1.77,1.63,1.44,1.7,-22.171570378523565,85.75668237999984
TFCILTD,1.54,3.58,2.48,0.423,1.14,1.2,0.905,-22.012726425934144,137.0856219321062
LAKPRE,0.0,-0.246,-0.111,0.438,0.604,0.413,0.998,-21.359221053647143,-4.705877865062041
JAIBALAJI,0.176,2.84,1.4,1.34,1.51,1.78,0.545,-21.311279825630045,1898.300048828125
RAJRILTD,0.0,0.144,-0.136,-0.158,0.0,0.0,0.0,-21.02473150528902,-62.11864342123775
GAYAPROJ,1.63,0.286,0.0425,1.27,1.63,1.72,3.1,-20.603012594922944,24.409452189189462
PAISALO,1.75,4.23,2.0,0.858,0.642,0.925,2.11,-20.314624880458336,174.94277164992283
DCMFINSERV,0.0,0.101,0.355,0.63,-0.0476,-0.206,-0.0273,-19.99999682108561,17.073178106940155
AKSHAR,0.0,1.54,1.22,-0.409,0.0,0.0,0.0,-19.117649327512368,-43.82978358685326
DUCON,1.64,1.36,1.01,1.65,1.41,1.41,1.41,-18.9320366325742,25.563913710114996
PARASPETRO,0.0,0.057,0.653,-1.06,1.35,2.58,3.37,-18.840582214015708,194.73684078438455
EUROTEXIND,0.0,0.344,0.0042,0.249,0.722,0.763,1.41,-18.500003814697266,11.643827473788654
VINNY,0.0,0.442,0.255,0.206,0.0284,-0.147,-0.396,-18.269227771363912,-46.54087922056377
SKIL,1.52,0.527,-0.0329,-0.088,-0.065,-0.109,-0.899,-18.23899174909752,83.09859400868206
TCLCONS,0.0,1.01,0.269,0.0,0.0,0.0,0.0,-18.226001754297165,256.08467941858765
JKTYRE,1.59,2.58,1.07,1.06,1.19,0.914,1.54,-18.03718687017646,164.22998702478793
CMICABLES,1.71,0.52,0.0181,-0.362,0.414,0.164,1.17,-17.985612004386077,-48.41629220925772
COMPINFO,1.64,0.927,0.856,0.185,1.43,1.43,1.66,-17.96875122236086,-63.1578947368421
SHYAMTEL,0.808,1.03,-0.429,-0.0367,0.155,0.535,-2.11,-17.826088615085766,14.545452233516809
KAYNES,0.0,1.28,0.774,0.871,0.0,0.0,0.0,-17.657852291504668,167.13421279799445
TATAINVEST,0.893,3.26,1.1,0.615,0.942,1.07,1.05,-17.65011677634392,283.3505397515778
MKPL,0.0,-0.0422,-0.708,0.643,0.0,0.0,0.0,-17.425084382713806,-50.48582554088872
SUPREMEENG,0.0,0.498,0.691,-0.0386,0.107,-0.233,0.464,-17.391303671780953,11.764701344975268
VIJIFIN,0.638,0.342,0.893,1.07,1.07,1.39,0.644,-17.333335876464844,34.78260734356191
ASHOKAMET,0.0,3.45,1.25,0.0,0.0,0.0,0.0,-17.281556360929915,25.66370665677021
ATALREAL,0.0,-0.43,1.46,-0.124,0.423,0.086,1.91,-17.261903275167523,-22.6918800199179
GLOBE,0.0,-0.0098,0.157,1.32,1.8,1.63,0.182,-17.241379688337034,24.13792366363513
S&SPOWER,0.0,-0.253,0.332,1.81,0.32,0.431,1.06,-17.079336757484004,636.9759959614464
MUKTAARTS,0.939,1.9,1.21,0.53,0.933,0.978,0.591,-16.58347678823399,52.07279229124136
STARTECK,0.0,0.898,0.222,2.2,0.0,0.0,0.0,-16.534435129905997,123.73457522089548
HILTON,0.0103,5.25,1.67,0.903,1.19,1.52,0.332,-16.148484277541872,11.707515204937916
JTLIND,0.0,1.92,0.927,0.659,0.776,0.679,-0.099,-16.075074734446652,24.969419897187816
IIFL,0.743,2.08,1.32,1.43,1.13,0.727,0.245,-16.012558869701728,-12.341304723931474
THOMASCOTT,-0.225,1.45,0.657,1.62,1.42,1.15,1.07,-16.011644832605533,567.0520231213873
ACCURACY,0.0,1.34,0.412,1.71,1.01,0.561,-0.508,-15.909090909090908,-32.97101541918581
MBECL,1.17,0.345,0.082,0.28,1.02,0.941,1.77,-15.70248357276338,34.210525490240364
UNIINFO,0.0,3.43,3.49,1.25,1.39,0.715,0.762,-15.698923090452787,109.6256639765912
AVROIND,0.0,2.09,0.386,1.4,-0.0029,-0.0269,-0.135,-15.643275620236857,-5.48730305648795
DBREALTY,1.59,4.16,2.74,0.095,1.92,1.05,0.494,-15.58823305017808,229.1756359907034
PRITIKAUTO,0.0,0.95,-0.096,0.919,0.877,0.702,1.04,-15.406979387550384,83.59621249908994
GAYAHWS,0.0,0.439,-0.337,-0.65,0.171,0.55,0.256,-15.384610446952324,37.50000093132256
TECILCHEM,0.0,0.236,-0.19,0.0,0.0,0.0,0.0,-15.17671407201419,-6.849315187799379
GATECH,0.0,1.05,0.451,-0.385,-0.512,-0.234,-0.608,-15.151515370448651,16.666660043928623
MAHICKRA,0.0,2.25,1.28,0.836,0.396,0.394,-0.466,-15.130434782608695,28.62414545350417
JMFINANCIL,1.16,4.51,2.14,1.34,1.25,1.04,0.746,-15.086426775155145,31.471439662674097
BLUECHIP,0.0,0.0027,0.359,0.711,0.0,0.0,0.0,-14.925373559222251,849.9999304612505
MARSHALL,0.0,5.13,1.97,1.06,1.11,1.59,0.618,-14.705882038663932,-36.58577682946719
AMBICAAGAR,0.0,2.74,0.707,0.798,1.15,1.41,1.96,-14.392801969047303,43.46733559972362
SMLT,0.0,1.71,1.05,1.38,1.31,0.885,1.04,-14.29391220420547,28.227887073948647
MASKINVEST,0.0,0.397,0.116,1.72,0.865,2.13,9.48,-14.26806159084616,32.82296942751944
DANGEE,0.0,3.07,0.886,1.76,0.877,0.612,0.278,-14.220176984460709,-38.688522088723104
IITL,0.807,2.28,0.417,0.27,1.11,0.184,-0.4,-13.96482194296026,133.46751825746202
FLFL,1.35,0.851,0.384,1.5,0.348,-0.618,-1.41,-13.72548671283884,-61.06194671593816
BKMINDST,3.48,0.678,0.14,1.12,0.965,0.677,0.957,-13.636366591965793,89.99999761581421
